hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Shanti Villa,"₹ 4,000",7.6,Good,81,"Paharganj, New Delhi",Deluxe Room,1 double bed,+₹ 480 taxes and charges,3,1 night, 2 adults,"₹ 4,000",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Good breakfast"
Westend Holiday Home - Couple Friendly Stays,"₹ 1,260",6.5,Review score,215,"South Delhi, New Delhi",Standard Double Room,1 double bed,+₹ 151 taxes and charges,0,1 night, 2 adults,"₹ 1,400",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Lemon Tree Premier City Center,"₹ 7,700",7.0,Good,143,"City Center - Sector 29, Gurgaon",Superior King Room,1 double bed,"+₹ 2,295 taxes and charges",4,1 night, 2 adults,"₹ 11,000",False,True,2024-01-02,2024-01-03,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Private parking, Bar, Breakfast"
HOTEL Grand urban luxury Near Delhi Airport,"₹ 2,124",6.4,Review score,49,"South West, New Delhi",Deluxe Room,1 single bed,+₹ 255 taxes and charges,4,1 night, 2 adults,"₹ 2,950",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Breakfast"
Hotel Opera New Delhi,"₹ 9,899",7.9,Good,454,"South West, New Delhi",Premium Room,1 extra-large double bed,"+₹ 1,782 taxes and charges",4,1 night, 2 adults,"₹ 9,899",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Very good breakfast"
FabExpress Merriment,"₹ 2,546",4.1,Review score,25,Noida,Deluxe Room,1 large double bed,+₹ 306 taxes and charges,3,1 night, 2 adults,"₹ 2,546",False,True,2024-01-02,2024-01-03,Restaurant
FabHotel Elite 39,"₹ 3,340",7.7,Good,12,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,+₹ 461 taxes and charges,3,1 night, 2 adults,"₹ 3,340",False,True,2024-01-02,2024-01-03,Free WiFi
Hotel Yes Please Lodge,₹ 499,4.4,Review score,124,"Paharganj, New Delhi",Standard Double Room with Fan,1 double bed,+₹ 60 taxes and charges,0,1 night, 2 adults,₹ 499,False,True,2024-01-02,2024-01-03,"Airport shuttle (free), Room service, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning"
Leela International - By Haveliya Hotels,"₹ 3,600",8.1,Very good,39,"Paharganj, New Delhi",Deluxe Double Room,1 extra-large double bed,+₹ 432 taxes and charges,4,1 night, 2 adults,"₹ 3,600",False,False,2024-01-02,2024-01-03,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free parking, 24-hour front desk, Terrace, Laundry, Tea/coffee maker in all rooms, Breakfast"
Trimrooms Palm D'or,"₹ 4,950",6.2,Review score,463,"Paharganj, New Delhi",Executive Double or Twin Room,Beds: 1 double or 2 singles,+₹ 594 taxes and charges,3,1 night, 2 adults,"₹ 4,950",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Breakfast"
